adj_code,rec_code,category,rel_count
SRCADJ-CARD-BULK-AC760C214E55E6DE,REC-79C0D690D7864362,冠心病,8
SRCADJ-CARD-BULK-1D9E6F034C90033D,REC-0865E023D4216664,冠心病,8
SRCADJ-CARD-BULK-AE47C93A0427B58F,REC-68522C78632B674D,冠心病,8
SRCADJ-CARD-BULK-2C6AED68A21CDB37,REC-4F29DF99898C8CC2,冠心病,8
SRCADJ-CARD-BULK-3EABCFD2348C8AC5,REC-F88808D8A152DB97,冠心病,8
SRCADJ-CARD-BULK-A1E40BD66906F409,REC-EE40AEAF445DB14C,心肌病,8
SRCADJ-CARD-BULK-512DE87A75DF6C24,REC-641ADA1A77EC5449,心肌病,8
SRCADJ-CARD-BULK-35CEFDA609B53390,REC-0DDF91E5FAF604FF,心肌病,8
SRCADJ-CARD-BULK-10114D0A10333E65,REC-F89F8062443E14B8,心肌病,8
SRCADJ-CARD-BULK-E89B246D4A9D75B7,REC-DD0DEDBFA0440F98,心肌病,8
SRCADJ-CARD-BULK-AD1353A55D6BF1E3,REC-43B5E8668891D88E,心肌病,8
SRCADJ-CARD-BULK-8287FD90B3368885,REC-EB5AFD73BE0DE4DF,心肌病,8
SRCADJ-CARD-BULK-4D87F68C7220AD2F,REC-B9FDFEA8ADE3BB0B,冠心病,8
SRCADJ-CARD-BULK-8B07C6DF5265F8D6,REC-C5DD35436EB5AA71,冠心病,8
SRCADJ-CARD-BULK-F1FB80F807BB31A6,REC-B536E27D593BB7AE,冠心病,8
SRCADJ-CARD-BULK-1E39078916B21AFC,REC-8377E5F73BCC063E,冠心病,8
SRCADJ-CARD-BULK-5BDE39ED5663A450,REC-99D15295E54A2E9A,冠心病,8
SRCADJ-CARD-BULK-A7BBE586AED259AC,REC-83E5052977F3786E,冠心病,8
SRCADJ-CARD-BULK-A49873A894889411,REC-E15C3FE622E9A1B6,冠心病,8
SRCADJ-CARD-BULK-C15FF665A4F23023,REC-6508B53A9DAAD87C,冠心病,8
SRCADJ-CARD-BULK-5F3D7862A4EE2455,REC-A913EC4378A30237,心肌病,8
SRCADJ-CARD-BULK-2209FEA916F77B30,REC-21D990E4430DC5ED,心肌病,8
SRCADJ-CARD-BULK-75AD3C7DD06B32DB,REC-FFDD943BCFA64D20,心律失常,8
SRCADJ-CARD-BULK-747A705351142CDF,REC-A0EFED6A7A353578,心律失常,8
SRCADJ-CARD-BULK-87FDA03F403513E4,REC-88DBA5F0096692CC,心律失常,8
SRCADJ-CARD-BULK-E67E9E9B91BCC7D3,REC-121D8EE47068F523,心律失常,8
SRCADJ-CARD-BULK-382958F8CE169DF5,REC-20F0795395FF6BB7,心律失常,8
SRCADJ-CARD-BULK-39856489DE96C233,REC-7AF9D9F0F96C146E,心律失常,8
SRCADJ-CARD-BULK-C49776B353DB5E4B,REC-78888CE12F2F6E81,心律失常,8
SRCADJ-CARD-BULK-00726478C55AB4F0,REC-ACBC04447755D735,心律失常,8
SRCADJ-CARD-BULK-E1BE827834C0FE7A,REC-97EDE152FD987916,冠心病,8
SRCADJ-CARD-BULK-53051AA0AA26AAFA,REC-4AC0AA29BB44F05E,心肌病,8
SRCADJ-CARD-BULK-E6A267B3E71BDBA8,REC-CCBBCCDD62854923,冠心病,8
SRCADJ-CARD-BULK-30BE0C2279C8BC6E,REC-E03C9607D4BEA40D,冠心病,8
SRCADJ-CARD-BULK-F0E557050035F71B,REC-DFA339F6FA11A409,冠心病,8
SRCADJ-CARD-BULK-D79A803A3356E58D,REC-0C33C27DD9EEF105,冠心病,8
SRCADJ-CARD-BULK-3765578D7400FC90,REC-A3C6BB200B047E7A,冠心病,8
SRCADJ-CARD-BULK-1423083C70B18C89,REC-E1AEF9240B52F0B4,冠心病,8
SRCADJ-CARD-BULK-A945D778E762E7EF,REC-047C1E2BE0811E47,冠心病,8
SRCADJ-CARD-BULK-D04F6A204283CF6A,REC-58DDA5325D02391B,心肌病,8
SRCADJ-CARD-BULK-C283488C559C1D58,REC-86DD62EB59901933,心肌病,8
SRCADJ-CARD-BULK-76FD916889143281,REC-20FCDA444A5F1A22,心肌病,8
SRCADJ-CARD-BULK-E68D409F0A97A6B1,REC-6CAE41CD73D9133E,冠心病,8
SRCADJ-CARD-BULK-DEF8EB1191BE4CAB,REC-CDSS-CARD-HF-AHF-RATE-CONTROL,心力衰竭,8
SRCADJ-CARD-BULK-C85749BC002BD0AF,REC-CDSS-CAD-ACS-01-01-ECG-TROP,冠心病,8
SRCADJ-CARD-BULK-D76E62FEB04B3A9C,REC-CDSS-CAD-ACS-02-01-RISK,冠心病,8
SRCADJ-CARD-BULK-D7E471A3BC0E7B01,REC-CDSS-CAD-ACS-03-01-ANTITHROMBOTIC,冠心病,8
SRCADJ-CARD-BULK-A34F3861B9F74A41,REC-CDSS-CAD-ACS-03-02-REVASC,冠心病,8
SRCADJ-CARD-BULK-548F10EE05420D90,REC-CDSS-CAD-AMI-01-01-DIAG,冠心病,8
SRCADJ-CARD-BULK-A265053FC6E5D961,REC-CDSS-CAD-AMI-02-01-REPERFUSION,冠心病,8
SRCADJ-CARD-BULK-95FEFEBADCF89072,REC-CDSS-CAD-AMI-03-01-PREVENT,冠心病,8
SRCADJ-CARD-BULK-5F767AC7B3077114,REC-CDSS-CAD-STEMI-01-01-ECG-TROP,冠心病,8
